NCOLS 3 
NROWS 11 
XLLCORNER -79.3333333333333 
YLLCORNER -4.08333333333333 
CELLSIZE 0.0833333333333333 
NODATA_value -3.4e+38 
0.923989236354828 0.865225613117218 0.766062080860138
0.29431888461113 0.979034423828125 0.70831823348999
0.491951167583466 0.966702938079834 0.972834050655365
0.537033736705780 0.950792610645294 0.994871020317078
0.972544550895691 0.977507710456848 0.918933629989624
0.962343156337738 0.992376744747162 0.908235430717468
0.918663561344147 0.949141919612885 0.938345551490784
0.907274067401886 0.934382557868958 0.958572924137115
0.811434745788574 0.82195657491684 0.710789561271667
0.468054324388504 0.634002923965454 0.76477575302124
0.294954866170883 0.547929227352142 0.760879814624786
