"","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9"
"Ripogonum_brevifolium",202,243,153,1279,177,34,40,476,151,464,191,97,50,3538,286,92,194,242,160
"Ripogonum_album",203,244,153,1191,172,33,43,476,139,458,170,100,50,3586,289,89,200,243,160
"Ripogonum_fawcettianum",179,223,127,1713,237,53,43,680,191,600,265,103,49,3749,271,62,209,221,135
"Ripogonum_elseyanum",193,235,142,1674,256,45,49,731,189,668,231,108,51,3631,284,75,209,232,151
"Ripogonum_scandens",114,154,72,3583,352,225,12,1023,807,821,807,83,46,3172,201,23,178,110,72
