species,habit,range
Colchicum minutum,tuber geophyte,34
Colchicum mirzoevae,tuber geophyte,33
Colchicum montanum,tuber geophyte,12
Colchicum multiflorum,tuber geophyte,12
Colchicum munzurense,tuber geophyte,34
Colchicum nanum,tuber geophyte,12
Colchicum neapolitanum,tuber geophyte,13
Colchicum parlatoris,tuber geophyte,13
Colchicum parnassicum,tuber geophyte,13
Colchicum paschei,tuber geophyte,34
Colchicum peloponnesiacum,tuber geophyte,13
Colchicum persicum,tuber geophyte,34
Colchicum polyphyllum,tuber geophyte,34
Colchicum pulchellum,tuber geophyte,13
Colchicum pusillum,tuber geophyte,13 34
Colchicum raddeanum,tuber geophyte,33 34
Colchicum rausii,tuber geophyte,13
Colchicum ritchii,tuber geophyte,20 34 35
Colchicum robustum,tuber geophyte,32 34 40
Colchicum sanguicolle,tuber geophyte,34
Colchicum schimperi,tuber geophyte,20 34 35
Colchicum serpentinum,tuber geophyte,34
Colchicum sfikasianum,tuber geophyte,13
Colchicum sieheanum,tuber geophyte,34
Colchicum soboliferum,tuber geophyte,13 32 33 34
Colchicum speciosum,tuber geophyte,33 34
Colchicum stevenii,tuber geophyte,34
Colchicum szovitsii,tuber geophyte,13 32 33 34
Colchicum trigynum,tuber geophyte,33 34
Colchicum triphyllum,tuber geophyte,12 13 14 20 34
Colchicum troodi,tuber geophyte,34
Colchicum tunicatum,tuber geophyte,34
Colchicum turcicum,tuber geophyte,13 34
Colchicum tuviae,tuber geophyte,34
Colchicum umbrosum,tuber geophyte,14 33 34
Colchicum varians,tuber geophyte,34
Colchicum variegatum,tuber geophyte,13 34
Colchicum verlaqueae,tuber geophyte,12
Colchicum wendelboi,tuber geophyte,34
Colchicum woronowii,tuber geophyte,33
Colchicum zahnii,tuber geophyte,13
Disporum acuminatissimum,geophyte rhizome,36
Disporum acuminatum,geophyte rhizome,41
Disporum bodinieri,geophyte rhizome,36
Disporum calcaratum,geophyte rhizome,36 40 41
Disporum cantoniense,geophyte rhizome,36 40 41 42
Disporum hainanense,geophyte rhizome,36
Disporum jinfoshanense,tuber geophyte,36
Disporum kawakamii,geophyte rhizome,38
Disporum leucanthum,geophyte rhizome,36 40
Disporum longistylum,geophyte rhizome,36 40
Disporum lutescens,geophyte rhizome,38
Disporum megalanthum,geophyte rhizome,36
Disporum nantouense,geophyte rhizome,38
Disporum sessile,geophyte rhizome,31 38
Disporum shimadae,geophyte rhizome,38
Disporum smilacinum,geophyte rhizome,31 36 38
Disporum tonkinense,geophyte rhizome,41
Disporum trabeculatum,geophyte rhizome,36 41
Disporum uniflorum,geophyte rhizome,36 38
Disporum viridescens,geophyte rhizome,31 36 38
Gloriosa baudii,tuber geophyte,24 25
Gloriosa carsonii,tuber geophyte,23 24 25 26 27
Gloriosa flavovirens,tuber geophyte,26
Gloriosa lindenii,tuber geophyte,23 25 26
Gloriosa littonioides,tuber geophyte,23 25 26
Gloriosa modesta,tuber geophyte,26 27
Gloriosa revoilii,tuber geophyte,24 35
Gloriosa rigidifolia,tuber geophyte,27
Gloriosa sessiliflora,tuber geophyte,26 27
Gloriosa simplex,tuber geophyte,22 23 24 25 26 27 29
Gloriosa superba,tuber geophyte,22 23 24 25 26 27 29 36 40 41 42
Hexacyrtis dickiana,tuber geophyte,27
Iphigenia boinensis,tuber geophyte,29
Iphigenia indica,tuber geophyte,36 40 41 42 43 50
Iphigenia magnifica,tuber geophyte,40
Iphigenia mysorensis,tuber geophyte,40
Iphigenia oliveri,tuber geophyte,24 25 26 27 35
Iphigenia pallida,tuber geophyte,40
Iphigenia pauciflora,tuber geophyte,22 23 24 25 26
Iphigenia robusta,tuber geophyte,29
Iphigenia sahyadrica,tuber geophyte,40
Iphigenia socotrana,tuber geophyte,24
Iphigenia stellata,tuber geophyte,40
Kuntheria pedunculata,rhizome nanophan,50
Ornithoglossum calcicola,tuber geophyte,27
Ornithoglossum dinteri,tuber geophyte,27
Ornithoglossum gracile,tuber geophyte,27
Ornithoglossum parviflorum,tuber geophyte,27
Ornithoglossum pulchrum,tuber geophyte,27
Ornithoglossum undulatum,tuber geophyte,27
Ornithoglossum viride,tuber geophyte,27
Ornithoglossum vulgare,tuber geophyte,25 26 27
Ornithoglossum zeyheri,tuber geophyte,27
Sandersonia aurantiaca,geophyte bulb hel.,27
Schelhammera multiflora,geophyte rhizome,43 50
Schelhammera undulata,geophyte rhizome,50
Tripladenia cunninghamii,geophyte rhizome,50
Uvularia floridana,geophyte rhizome,78
Uvularia grandiflora,geophyte rhizome,71 72 74 75 78
Uvularia perfoliata,geophyte rhizome,72 75 77 78
Uvularia puberula,geophyte rhizome,75 78
Uvularia sessilifolia,geophyte rhizome,71 72 74 75 77 78
Wurmbea angustifolia,tuber geophyte,26 27
Wurmbea australis,tuber geophyte,50
Wurmbea biglandulosa,tuber geophyte,50
Wurmbea burttii,tuber geophyte,27
Wurmbea calcicola,tuber geophyte,50
Wurmbea capensis,tuber geophyte,27
Wurmbea centralis,tuber geophyte,50
Wurmbea cernua,tuber geophyte,50
Wurmbea citrina,tuber geophyte,50
Wurmbea compacta,tuber geophyte,27
Wurmbea decumbens,tuber geophyte,50
Wurmbea densiflora,tuber geophyte,50
Wurmbea deserticola,tuber geophyte,50
Wurmbea dilatata,tuber geophyte,50
Wurmbea dioica,tuber geophyte,50
Wurmbea dolichantha,tuber geophyte,27
Wurmbea drummondii,tuber geophyte,50
Wurmbea elatior,tuber geophyte,27
Wurmbea elongata,tuber geophyte,27
Wurmbea fluviatilis,tuber geophyte,50
Wurmbea glassii,tuber geophyte,27
Wurmbea graniticola,tuber geophyte,50
Wurmbea hiemalis,tuber geophyte,27
Wurmbea inflata,tuber geophyte,50
Wurmbea inframediana,tuber geophyte,50
Wurmbea inusta,tuber geophyte,27
Wurmbea kraussii,tuber geophyte,27
Wurmbea latifolia,tuber geophyte,50
Wurmbea marginata,tuber geophyte,27
Wurmbea minima,tuber geophyte,27
Wurmbea monantha,tuber geophyte,50
Wurmbea monopetala,tuber geophyte,27
Wurmbea murchisoniana,tuber geophyte hel.,50
Wurmbea nilpinna,tuber geophyte,50
Wurmbea novae-zelandiae,tuber geophyte,51
Wurmbea odorata,tuber geophyte,50
Wurmbea punctata,tuber geophyte,27
Wurmbea pusilla,tuber geophyte,27
Wurmbea pygmaea,tuber geophyte,50
Wurmbea recurva,tuber geophyte,27
Wurmbea robusta,tuber geophyte,27
Wurmbea saccata,tuber geophyte,50
Wurmbea sinora,tuber geophyte,50
Wurmbea spicata,tuber geophyte,27
Wurmbea stellata,tuber geophyte,50
Wurmbea stricta,tuber geophyte,27
Wurmbea tenella,tuber geophyte,50
Wurmbea tenuis,tuber geophyte,22 23 25 26 27
Wurmbea tubulosa,tuber geophyte,50
Wurmbea uniflora,tuber geophyte,50
Wurmbea variabilis,tuber geophyte,27
Petermannia cirrosa,cl.,50
Alstroemeria achirae,tuber geophyte,85
Alstroemeria albescens,tuber geophyte,84
Alstroemeria altoparadisea,tuber geophyte,84
Alstroemeria amabilis,tuber geophyte,84
Alstroemeria amazonica,tuber geophyte,82 84
Alstroemeria andina,tuber geophyte,85
Alstroemeria angustifolia,tuber geophyte,85
Alstroemeria annapolina,tuber geophyte,84
Alstroemeria apertiflora,tuber geophyte,84 85
Alstroemeria aquidauanica,tuber geophyte,84
Alstroemeria arnicana,tuber geophyte,84
Alstroemeria aulica,tuber geophyte,85
Alstroemeria aurea,tuber geophyte,85
Alstroemeria bahiensis,tuber geophyte,84
Alstroemeria bakeri,tuber geophyte,85
Alstroemeria bilabiata,tuber geophyte,85
Alstroemeria brasiliensis,tuber geophyte,84
Alstroemeria burchellii,tuber geophyte,84
Alstroemeria cabralensis,tuber geophyte,84
Alstroemeria caiaponica,tuber geophyte,84
Alstroemeria calliantha,tuber geophyte,84
Alstroemeria cantillanica,tuber geophyte,85
Alstroemeria capixaba,tuber geophyte,84
Alstroemeria caryophyllaea,tuber geophyte,84
Alstroemeria chapadensis,tuber geophyte,84
Alstroemeria chorillensis,tuber geophyte,83
Alstroemeria crispata,tuber geophyte,85
Alstroemeria cuiabana,tuber geophyte,84
Alstroemeria cultrifolia,tuber geophyte,84
Alstroemeria cunha,tuber geophyte,84
Alstroemeria decora,tuber geophyte,85
Alstroemeria diluta,tuber geophyte,85
Alstroemeria discolor,tuber geophyte,85
Alstroemeria douradensis,tuber geophyte,84
Alstroemeria espigonensis,tuber geophyte,84
Alstroemeria exserens,tuber geophyte,85
Alstroemeria fiebrigiana,tuber geophyte,83
Alstroemeria foliosa,tuber geophyte,84 85
Alstroemeria fuscovinosa,tuber geophyte,84
Alstroemeria garaventae,tuber geophyte,85
Alstroemeria gardneri,tuber geophyte,84
Alstroemeria glaucandra,tuber geophyte,85
Alstroemeria gouveiana,tuber geophyte,84
Alstroemeria graminea,tuber geophyte,85
Alstroemeria hookeri,tuber geophyte,85
Alstroemeria huemulina,tuber geophyte,85
Alstroemeria ibitipocae,tuber geophyte,84
Alstroemeria igarapavica,tuber geophyte,84
Alstroemeria inodora,tuber geophyte,84
Alstroemeria isabelleana,tuber geophyte,84 85
Alstroemeria itabiritensis,tuber geophyte,84
Alstroemeria itatiaica,tuber geophyte,84
Alstroemeria jocunda,tuber geophyte,85
Alstroemeria julieae,tuber geophyte,84
Alstroemeria kingii,tuber geophyte,85
Alstroemeria lactilutea,tuber geophyte,85
Alstroemeria landimana,tuber geophyte,84
Alstroemeria leporina,tuber geophyte,85
Alstroemeria ligtu,tuber geophyte,83 85
Alstroemeria litterata,tuber geophyte,84
Alstroemeria longaviensis,tuber geophyte,85
Alstroemeria longistaminea,tuber geophyte,84
Alstroemeria longistyla,tuber geophyte,84
Alstroemeria lutea,tuber geophyte,85
Alstroemeria magna,tuber geophyte,85
Alstroemeria magnifica,tuber geophyte,85
Alstroemeria malmeana,tuber geophyte,84
Alstroemeria marticorenae,tuber geophyte,85
Alstroemeria modesta,tuber geophyte,85
Alstroemeria mollensis,tuber geophyte,85
Alstroemeria monantha,tuber geophyte,85
Alstroemeria monticola,tuber geophyte,84
Alstroemeria nidularis,tuber geophyte,85
Alstroemeria nivea,tuber geophyte,85
Alstroemeria ochracea,tuber geophyte,84
Alstroemeria orchidioides,tuber geophyte,84
Alstroemeria oreas,tuber geophyte,85
Alstroemeria pallida,tuber geophyte,85
Alstroemeria paraensis,tuber geophyte,84
Alstroemeria patagonica,tuber geophyte,85
Alstroemeria paupercula,tuber geophyte,83 85
Alstroemeria pelegrina,tuber geophyte,83 85
Alstroemeria penduliflora,tuber geophyte,84
Alstroemeria philippii,tuber geophyte,85
Alstroemeria piauhyensis,tuber geophyte,84
Alstroemeria plantaginea,tuber geophyte,82 84
Alstroemeria poetica,tuber geophyte,85
Alstroemeria polpaicana,tuber geophyte,85
Alstroemeria polyphylla,tuber geophyte,85
Alstroemeria presliana,tuber geophyte,85
Alstroemeria pseudospathulata,tuber geophyte,85
Alstroemeria psittacina,tuber geophyte,84 85
Alstroemeria pubiflora,tuber geophyte,84
Alstroemeria pudica,tuber geophyte,85
Alstroemeria pulchra,tuber geophyte,85
Alstroemeria punctata,tuber geophyte,84
Alstroemeria pygmaea,tuber geophyte,83 85
Alstroemeria radula,tuber geophyte,84
Alstroemeria recumbens,tuber geophyte,85
Alstroemeria revoluta,tuber geophyte,85
Alstroemeria ribeirensis,tuber geophyte,84
Alstroemeria roseoviridis,tuber geophyte,84
Alstroemeria rupestris,tuber geophyte,84
Alstroemeria sabulosa,tuber geophyte,85
Alstroemeria schizanthoides,tuber geophyte,85
Alstroemeria sellowiana,tuber geophyte,84
Alstroemeria spathulata,tuber geophyte,85
Alstroemeria speciosa,tuber geophyte,84
Alstroemeria spectabilis,tuber geophyte,85
Alstroemeria stenopetala,tuber geophyte,84
Alstroemeria stenophylla,tuber geophyte,84
Alstroemeria stramonia,tuber geophyte,84
Alstroemeria talcaensis,tuber geophyte,85
Alstroemeria timida,tuber geophyte,85
Alstroemeria tombolatoana,tuber geophyte,84
Alstroemeria umbellata,tuber geophyte,85
Alstroemeria variegata,tuber geophyte,84
Alstroemeria venusta,tuber geophyte,85
Alstroemeria versicolor,tuber geophyte,85
Alstroemeria virginalis,tuber geophyte,85
Alstroemeria viridiflora,tuber geophyte,84
Alstroemeria werdermannii,tuber geophyte,85
Alstroemeria xavantinensis,tuber geophyte,84
Alstroemeria yaelae,tuber geophyte,85
Alstroemeria zoellneri,tuber geophyte,85
Bomarea acutifolia,geophyte rhizome,79 80
Bomarea albimontana,geophyte rhizome,83
Bomarea alstroemerioides,tuber geophyte cl.,83
Bomarea amazonica,tuber geophyte cl.,83
Bomarea amilcariana,tuber geophyte,82
Bomarea ampayesana,tuber geophyte,83
Bomarea anceps,geophyte rhizome,83
Bomarea andimarcana,tuber geophyte,83
Bomarea andreana,geophyte rhizome,80 82 83
Bomarea angulata,tuber geophyte,83
Bomarea angustissima,geophyte rhizome,83
